Age,Men,Women,Total,Gender_Ratio
15,16.8,11,27.8,152.72727272727275
16,20.7,12.4,33.1,166.93548387096772
17,19.7,11.6,31.299999999999997,169.82758620689654
18,22.1,10.8,32.900000000000006,204.62962962962962
19,28.3,16.8,45.1,168.45238095238096
20,48.4,30.3,78.7,159.73597359735973
21,68.4,43.9,112.30000000000001,155.80865603644648
22,83.7,58.9,142.6,142.10526315789474
23,97.4,74.8,172.2,130.2139037433155
24,112.9,94.3,207.2,119.72428419936374
25,130.7,115.7,246.39999999999998,112.96456352636126
26,150.1,135.2,285.29999999999995,111.0207100591716
27,158.7,143.7,302.4,110.43841336116911
28,165.9,149.9,315.8,110.67378252168112
29,179.5,161.8,341.3,110.93943139678615
30,186.1,165.8,351.9,112.24366706875753
31,194.8,173.7,368.5,112.14738054116293
32,206.6,183.2,389.79999999999995,112.77292576419214
33,205.5,183.1,388.6,112.23375204806116
34,207.5,185.4,392.9,111.92017259978424
35,215.9,193,408.9,111.86528497409327
36,215.1,194.4,409.5,110.64814814814814
37,228.1,207.3,435.4,110.03376748673419
38,235.8,215.8,451.6,109.26784059314181
39,242.9,224.2,467.1,108.34076717216772
40,239.6,222.4,462,107.73381294964028
41,226.5,212.9,439.4,106.3879755753875
42,222.8,211.1,433.9,105.54239696826149
43,224.9,215.8,440.70000000000005,104.21686746987953
44,219.9,212.6,432.5,103.43367826904985
45,213.7,210.4,424.1,101.56844106463878
46,214.4,212.1,426.5,101.0843941537011
47,206.9,207.7,414.6,99.61482908040443
48,199.6,200.3,399.9,99.65052421367947
49,190,192.1,382.1,98.90681936491411
50,178.8,183.5,362.3,97.43869209809264
51,170.8,176.9,347.70000000000005,96.55172413793103
52,162,168.4,330.4,96.19952494061758
53,153,160.9,313.9,95.09011808576756
54,148.2,155.9,304.1,95.06093649775495
55,141.5,147.7,289.2,95.8023019634394
56,139.7,144.2,283.9,96.87933425797503
57,137.9,141.5,279.4,97.45583038869259
58,136.6,138.7,275.29999999999995,98.48594087959626
59,132.6,134.6,267.2,98.51411589895989
60,128.1,89.7,217.8,142.80936454849498
61,122.9,61.1,184,201.1456628477905
62,120.3,52.4,172.7,229.5801526717557
63,119.8,46,165.8,260.4347826086956
64,115.5,40.5,156,285.18518518518516
65,64.4,34.5,98.9,186.66666666666669
66,41.4,28.3,69.7,146.28975265017667
67,34.5,24.1,58.6,143.15352697095435
68,28.4,19.9,48.3,142.71356783919597
69,24.1,16.6,40.7,145.18072289156626
70,19.7,13.9,33.6,141.72661870503595
71,16.2,11.6,27.799999999999997,139.6551724137931
72,13.3,9.2,22.5,144.56521739130437
73,11,7.6,18.6,144.73684210526315
74,9.4,6.1,15.5,154.0983606557377
75,7.6,5.3,12.899999999999999,143.39622641509433
76,6.1,4,10.1,152.5
77,3.9,2.7,6.6,144.44444444444443
78,2.5,2,4.5,125
79,2.2,1.7,3.9000000000000004,129.41176470588235
80,1.6,1.2,2.8,133.33333333333334
81,1.3,1,2.3,130
82,1,0.9,1.9,111.11111111111111
83,0.9,0.9,1.8,100
84,0.8,0.6,1.4,133.33333333333334
85+,2.1,2.1,4.2,100
